athleteID,name,birthdate,gender,countryCode
4979790,Steven INSIXIENGMAY,2004-01-21,M,LAO
4978246,Isabella MILLAR,2007-11-08,F,SOL
4969017,Phone Pyae HAN,2008-10-09,M,MYA
4968593,Evgenii SOMOV,1999-01-28,M,AIN
4849459,Azzahra PERMATAHANI,2002-01-07,F,INA
4847700,Matthieu SEYE,2002-01-27,M,SEN
4846905,Khema ELIZABETH,2005-01-27,F,SEY
4846399,Tobi SIJUADE,2002-02-23,M,NGR
4685648,Hadji HASSANE,1997-11-13,M,COM
4683606,Nika SHARAFUTDINOVA,2005-06-14,F,UKR
4682686,Noelie Annette LACOUR,2006-12-01,F,GAB
4682465,Djenabou Jolie BAH,2009-10-03,F,GUI
4682462,Elhadj N'gnane DIALLO,2003-06-15,M,GUI
4678919,Mayah CHOULOUTE,2009-11-18,F,HAI
4678565,Lidwine UMUHOZA UWASE,1999-06-13,F,RWA
4676165,Antsa RABEJAONA,2002-06-05,F,MAD
4675589,Jamila BOULAKBECH,2006-12-19,F,TUN
4675455,Yousef ABUBAKER,2006-07-19,M,LBA
4674643,Jose TATI,2007-08-30,M,CPV
4674385,Gabriel CASTANO GARCIA,1997-11-01,M,MEX
4670929,Apsara SAKBUN,2001-02-21,F,CAM
4665280,Divine MIANSADI,2004-09-04,F,COD
4658294,Chadd NG CHIU HING NING,2006-06-29,M,SWZ
4654577,Jion HOSEI,2007-05-19,M,PLW
4654306,KIM Woomin,2001-08-24,M,KOR
4352676,Kaelyn Ciara Suryanti DJOPARTO,2006-06-01,F,SUR
4323582,Adell SABOVIC,2002-08-25,M,KOS
4119083,Anastasiya ZELINSKAYA,2004-04-21,F,UZB
4031141,Regan RATHWELL,2004-02-11,F,CAN
3560626,Maha ALSHEHHI,2006-07-12,F,UAE
3549769,Mohamed Aan HUSSAIN,2004-07-11,M,MDV
3518182,Rouxin TAN,2006-07-06,F,MAS
2475949,Muhammad Ahmed DURRANI,2006-01-03,M,PAK
2280513,Jere HRIBAR,2004-01-19,M,CRO
2013979,Max LITCHFIELD,1995-03-04,M,GBR
2013977,Angharad EVANS,2003-04-25,F,GBR
2001756,Honey OSRIN,2003-02-24,F,GBR
1998595,Jonny MARSHALL,2004-11-15,M,GBR
1981502,Saso BOSKAN,2002-12-12,M,SLO
1981469,Neza KLANCAR,2000-02-19,F,SLO
1981397,Mariam SHEIKHALIZADEHKHANGHAH,2004-07-18,F,AZE
1978106,Belly-Cresus GANIRA,2000-03-25,M,BDI
1977782,Noe PONTI,2001-06-01,M,SUI
1977754,Roman MITYUKOV,2000-07-30,M,SUI
1977730,Lisa MAMIE,1998-10-27,F,SUI
1977618,Lois Eliora IRISHURA,2010-04-15,F,BDI
1977314,Oscar Cyusa PEYRE MITILLA,2005-04-27,M,RWA
1977192,Lynn EL HAJJ,2007-03-05,F,LBN
1977174,Simon DOUEIHY,2002-05-24,M,LBN
1977128,Omar ABBAS,1999-03-02,M,SYR
1976496,Antonio DJAKOVIC,2002-10-08,M,SUI
1976490,Jeremy DESPLANCHES,1994-08-07,M,SUI
1976455,Thierry BOLLIN,2000-01-11,M,SUI
1975982,Maxine EGNER,2004-07-12,F,BOT
1975948,Duana LAMA,2006-07-14,F,NEP
1975829,Kayla SANCHEZ,2001-04-07,F,PHI
1975826,Jarod HATCH,1998-12-10,M,PHI
1973564,Adrian ROBINSON,2000-04-11,M,BOT
1972569,Renzo TJON-A-JOE,1995-07-08,M,NED
1972550,Kai van WESTERING,2003-10-11,M,NED
1972549,Kenzo SIMONS,2001-04-13,M,NED
1972546,Arno KAMMINGA,1995-10-22,M,NED
1972545,Caspar CORBEAU,2001-04-03,M,NED
1972543,Sean NIEWOLD,2002-04-20,M,NED
1972542,Nyls KORSTANJE,1999-02-05,M,NED
1972527,Tessa GIELE,2002-11-01,F,NED
1972526,Kira TOUSSAINT,1994-05-22,F,NED
1972525,Tes SCHOUTEN,2000-12-31,F,NED
1972524,Valerie van ROON,1998-08-13,F,NED
1972523,Maaike de WAARD,1996-10-11,F,NED
1972522,Marrit STEENBERGEN,2000-01-11,F,NED
1972519,Kim BUSCH,1998-06-16,F,NED
1972347,Ramil VALIZADA,2004-02-16,M,AZE
1972007,Ovesh PURAHOO,2001-08-13,M,MRI
1971438,Kalia ANTONIOU,2000-04-06,F,CYP
1971368,Nikolas ANTONIOU,2004-01-20,M,CYP
1968222,Ganga SENAVIRATHNE,2003-05-27,F,SRI
1968215,Kyle ABEYSINGHE,2000-02-04,M,SRI
